time_s,potential_V_vs_Fc,current_A_cathodic_positive
0,-0.203109,-9.06233e-07
0.02,-0.20511,-8.11963e-07
0.04,-0.207112,-9.7304e-07
0.06,-0.209114,-8.96474e-07
0.08,-0.211116,-9.18854e-07
0.1,-0.213118,-9.58938e-07
0.12,-0.21512,-9.84659e-07
0.14,-0.217021,-1.02541e-06
0.16,-0.218923,-1.05614e-06
0.18,-0.221025,-1.07318e-06
0.2,-0.223127,-1.11259e-06
0.22,-0.225029,-1.13898e-06
0.24,-0.227031,-1.15936e-06
0.26,-0.229033,-1.19811e-06
0.28,-0.231034,-1.24688e-06
0.3,-0.233036,-1.26124e-06
0.32,-0.235038,-1.28696e-06
0.34,-0.23704,-1.31301e-06
0.36,-0.239042,-1.35811e-06
0.38,-0.241044,-1.3708e-06
0.4,-0.243045,-1.37114e-06
0.42,-0.244947,-1.4012e-06
0.44,-0.247049,-1.42592e-06
0.46,-0.249051,-1.47335e-06
0.48,-0.251053,-1.49406e-06
0.5,-0.253055,-1.50642e-06
0.52,-0.254956,-1.54116e-06
0.54,-0.257158,-1.54918e-06
0.56,-0.25896,-1.57456e-06
0.58,-0.261062,-1.57957e-06
0.6,-0.263164,-1.6073e-06
0.62,-0.265066,-1.62333e-06
0.64,-0.267068,-1.63502e-06
0.66,-0.269069,-1.64939e-06
0.68,-0.271071,-1.67076e-06
0.7,-0.273073,-1.68546e-06
0.72,-0.274875,-1.69214e-06
0.74,-0.277077,-1.69749e-06
0.76,-0.279079,-1.71853e-06
0.78,-0.281081,-1.72855e-06
0.8,-0.283082,-1.74659e-06
0.82,-0.285084,-1.74325e-06
0.84,-0.286986,-1.75461e-06
0.86,-0.288988,-1.76229e-06
0.88,-0.29109,-1.76496e-06
0.9,-0.293092,-1.76363e-06
0.92,-0.294993,-1.77665e-06
0.94,-0.296995,-1.77498e-06
0.96,-0.298997,-1.77665e-06
0.98,-0.300999,-1.75962e-06
1,-0.303101,-1.76229e-06
1.02,-0.305103,-1.75928e-06
1.04,-0.307005,-1.76262e-06
1.06,-0.309106,-1.76496e-06
1.08,-0.311008,-1.7516e-06
1.1,-0.31301,-1.73089e-06
1.12,-0.314912,-1.72087e-06
1.14,-0.317114,-1.69649e-06
1.16,-0.319116,-1.69749e-06
1.18,-0.321017,-1.67644e-06
1.2,-0.323019,-1.64003e-06
1.22,-0.325121,-1.63135e-06
1.24,-0.327123,-1.58492e-06
1.26,-0.329125,-1.55987e-06
1.28,-0.331227,-1.50842e-06
1.3,-0.333229,-1.48404e-06
1.32,-0.33513,-1.43861e-06
1.34,-0.337132,-1.38583e-06
1.36,-0.339134,-1.34775e-06
1.38,-0.341136,-1.28295e-06
1.4,-0.343138,-1.20245e-06
1.42,-0.34494,-1.14232e-06
1.44,-0.347142,-1.06917e-06
1.46,-0.349143,-9.94346e-07
1.48,-0.351145,-9.14178e-07
1.5,-0.352947,-8.13634e-07
1.52,-0.355149,-7.0407e-07
1.54,-0.357151,-5.34918e-07
1.56,-0.359153,-4.1697e-07
1.58,-0.361054,-2.89134e-07
1.6,-0.363056,-1.50209e-07
1.62,-0.365158,1.47717e-08
1.64,-0.36706,1.5961e-07
1.66,-0.369062,3.32941e-07
1.68,-0.371164,5.13053e-07
1.7,-0.373066,7.04757e-07
1.72,-0.375067,9.13162e-07
1.74,-0.377069,1.05729e-06
1.76,-0.379171,1.28209e-06
1.78,-0.381073,1.53964e-06
1.8,-0.382975,1.79818e-06
1.82,-0.385077,2.06073e-06
1.84,-0.387078,2.34365e-06
1.86,-0.38898,2.64829e-06
1.88,-0.390982,2.95293e-06
1.9,-0.392984,3.29899e-06
1.92,-0.395186,3.64538e-06
1.94,-0.397088,4.01783e-06
1.96,-0.39909,4.38594e-06
1.98,-0.401091,4.78043e-06
2,-0.403093,5.18227e-06
2.02,-0.405095,5.59514e-06
2.04,-0.407197,6.03105e-06
2.06,-0.409099,6.45795e-06
2.08,-0.411001,6.92159e-06
2.1,-0.413002,7.37721e-06
2.12,-0.415004,7.8492e-06
2.14,-0.417106,8.31818e-06
2.16,-0.419108,8.79819e-06
2.18,-0.42111,9.31728e-06
2.2,-0.423012,9.79522e-06
2.22,-0.425013,1.02761e-05
2.24,-0.427015,1.07503e-05
2.26,-0.429117,1.12378e-05
2.28,-0.431019,1.1712e-05
2.3,-0.433021,1.21762e-05
2.32,-0.435023,1.26304e-05
2.34,-0.437025,1.30845e-05
2.36,-0.439127,1.34853e-05
2.38,-0.441028,1.39327e-05
2.4,-0.44303,1.43001e-05
2.42,-0.445032,1.46975e-05
2.44,-0.447034,1.50448e-05
2.46,-0.449036,1.5362e-05
2.48,-0.450937,1.56859e-05
2.5,-0.453039,1.59497e-05
2.52,-0.4550412,1.62269e-05
2.54,-0.4571432,1.64406e-05
2.56,-0.4590449,1.66443e-05
2.58,-0.4611468,1.68147e-05
2.6,-0.4629485,1.69683e-05
2.62,-0.4651506,1.70885e-05
2.64,-0.4670523,1.71787e-05
2.66,-0.4689541,1.72655e-05
2.68,-0.471056,1.73055e-05
2.7,-0.4730579,1.73356e-05
2.72,-0.4750597,1.73256e-05
2.74,-0.4771616,1.72955e-05
2.76,-0.4790634,1.72521e-05
2.78,-0.4809652,1.71787e-05
2.8,-0.4831672,1.71352e-05
2.82,-0.4850689,1.70317e-05
2.84,-0.4870708,1.69182e-05
2.86,-0.4891727,1.67779e-05
2.88,-0.4911746,1.66343e-05
2.9,-0.4929762,1.64841e-05
2.92,-0.4950782,1.63304e-05
2.94,-0.49708,1.61635e-05
2.96,-0.4990819,1.59865e-05
2.98,-0.5009836,1.58062e-05
3,-0.5029855,1.56392e-05
3.02,-0.5051875,1.54522e-05
3.04,-0.5070893,1.52752e-05
3.06,-0.5091912,1.50615e-05
3.08,-0.511093,1.48778e-05
3.1,-0.5130948,1.46875e-05
3.12,-0.5150967,1.45138e-05
3.14,-0.5170985,1.43669e-05
3.16,-0.5192005,1.41331e-05
3.18,-0.5210021,1.39294e-05
3.2,-0.523004,1.37424e-05
3.22,-0.525206,1.35788e-05
3.24,-0.5271078,1.35086e-05
3.26,-0.5291096,1.32114e-05
3.28,-0.5311115,1.30344e-05
3.3,-0.5330132,1.28608e-05
3.32,-0.5352152,1.27172e-05
3.34,-0.5370169,1.26871e-05
3.36,-0.5391189,1.23833e-05
3.38,-0.5410206,1.22096e-05
3.4,-0.54312255,1.20627e-05
3.42,-0.5451244,1.19324e-05
3.44,-0.54712625,1.19157e-05
3.46,-0.54902801,1.16286e-05
3.48,-0.55112995,1.14649e-05
3.5,-0.552831518,1.13414e-05
3.52,-0.55503355,1.12345e-05
3.54,-0.5570354,1.1161e-05
3.56,-0.55913734,1.09406e-05
3.58,-0.5610391,1.08137e-05
3.6,-0.56304095,1.07069e-05
3.62,-0.5651429,1.05766e-05
3.64,-0.5671447,1.04865e-05
3.66,-0.5690465,1.03262e-05
3.68,-0.5711484,1.0226e-05
3.7,-0.5731503,1.01358e-05
3.72,-0.5749519,1.0029e-05
3.74,-0.5769538,9.89874e-06
3.76,-0.5790557,9.79188e-06
3.78,-0.5810576,9.69504e-06
3.8,-0.5830594,9.60153e-06
3.82,-0.5850613,9.51471e-06
3.84,-0.5870631,9.40451e-06
3.86,-0.589065,9.29765e-06
3.88,-0.5910668,9.21416e-06
3.9,-0.5929686,9.13401e-06
3.92,-0.5949704,9.05387e-06
3.94,-0.5969723,8.94367e-06
3.96,-0.5990742,8.8702e-06
3.98,-0.600976,8.78671e-06
4,-0.6030779,8.69989e-06
4.02,-0.6050798,8.6331e-06
4.04,-0.6070816,8.54294e-06
4.06,-0.6090835,8.43608e-06
4.08,-0.6109852,8.36929e-06
4.1,-0.6130872,8.29582e-06
4.12,-0.615089,8.23905e-06
4.14,-0.6169908,8.15557e-06
4.16,-0.6190927,8.07208e-06
4.18,-0.6210946,8.02256e-06
4.2,-0.6229963,7.99618e-06
4.22,-0.6250983,7.9297e-06
4.24,-0.6271001,7.8512e-06
4.26,-0.6290019,7.75233e-06
4.28,-0.6311038,7.67651e-06
4.3,-0.6330056,7.6421e-06
4.32,-0.6350074,7.58298e-06
4.34,-0.6371094,7.51817e-06
4.36,-0.6390111,7.43567e-06
4.38,-0.641013,7.36385e-06
4.4,-0.6431149,7.32811e-06
4.42,-0.6451167,7.26531e-06
4.44,-0.6471186,7.1965e-06
4.46,-0.6490203,7.1484e-06
4.48,-0.6511223,7.07023e-06
4.5,-0.653024,7.0395e-06
4.52,-0.655126,7.00376e-06
4.54,-0.657128,6.92961e-06
4.56,-0.65903,6.84309e-06
4.58,-0.661132,6.79432e-06
4.6,-0.663033,6.76927e-06
4.62,-0.665035,6.7362e-06
4.64,-0.667137,6.66271e-06
4.66,-0.669139,6.60693e-06
4.68,-0.671141,6.55181e-06
4.7,-0.673143,6.51474e-06
4.72,-0.675144,6.46764e-06
4.74,-0.677046,6.41419e-06
4.76,-0.679048,6.34638e-06
4.78,-0.68105,6.30897e-06
4.8,-0.682952,6.29795e-06
4.82,-0.685154,6.24484e-06
4.84,-0.687055,6.1817e-06
4.86,-0.689157,6.11924e-06
4.88,-0.691059,6.08316e-06
4.9,-0.693061,6.06513e-06
4.92,-0.695063,6.02905e-06
4.94,-0.697065,5.97494e-06
4.96,-0.699067,5.92416e-06
4.98,-0.700968,5.88542e-06
5,-0.70307,5.86304e-06
5.02,-0.705072,5.82061e-06
